"ID","name","age","Sex","Civil Status","Having Degree","JOB ROLE","Department","Work From","Work To","Tenure(Years)","Salary(Rs)","Bonus","Claims","Worked Prject","NoOfLeaves","Distance(km)","NonSchoolGoingDep","NoOfChildren","NoOfComplaints","Reason to Leave","Churn"
"E0021","M.G.Z.De Vaas","33","Female","Married","No","Junior Designer","Software","1996-12-28","2006-10-18","10","30600.0","476","9172","Covance","10","24.991","1","3","1","Lack of benefits","1"
"E0022","T.H.De Vaas","38","Female","Single","No","Junior Business Analyst","Financial","2000-11-15","2005-01-03","5","22500.0","375","1857","Hazard Management System","2","75.763","0","0","3","Travelling Problem","1"
"E0023","U.F.P.Madasekera","48","Male","Single","No","IT Trainee","IT","1976-03-29","1990-12-23","14","20500.0","292","1004","Interplan","9","27.094","2","0","1","","0"
"E0024","E.W.W.K.Anand","33","Male","Single","Yes","QA Mananger","QA","2009-08-02","2013-08-08","4","82600.0","7826","8902","Hazard Management System","2","24.057","2","0","2","","0"
"E0025","W.Nanadasiri","33","Female","Married","No","IT Officer - Intern","IT","1981-08-19","1993-06-03","12","25400.0","383","9088","Telemar","18","1.554","5","3","2","Lack of benefits","1"
"E0026","H.B.Warnapura","25","Female","Single","Yes","Software Engineer","IT","1988-09-16","2014-07-17","26","88550.0","3255","6569","Claim Administration System Migration","7","40.935","1","0","4","Travelling Problem","1"
"E0027","L.Fernando","48","Female","Married","Yes","Assistant Accountant","Financial","2003-12-02","2011-07-23","8","67500.0","4229","5266","Ethna","20","37.185","1","0","3","Travelling Problem","1"
"E0028","P.D.S.Sarathchandra","24","Female","Single","No","IT Trainee","IT","2009-01-29","2013-12-02","4","20500.0","392","6936","Btaf","2","65.133","2","0","3","Travelling Problem","1"
"E0029","F.C.Hettiarachchi","46","Male","Married","Yes","Assistant Accountant","Financial","2003-06-10","2009-01-27","6","67500.0","4017","1019","Trico","4","40.839","5","4","1","","0"
"E0030","U.L.X.Darwin","25","Male","Married","Yes","QA Mananger","QA","1983-09-30","1991-08-20","8","82600.0","3932","8887","Telemar","6","57.895","2","1","2","","0"
"E0031","X.M.Senarathna","24","Female","Married","No","Software Engineering Intern","Software","1992-10-23","1997-09-18","5","26700.0","480","6808","New York Life","2","27.034","5","4","4","Travelling Problem","1"
"E0032","X.Bandaranayake","47","Female","Married","Yes","IT Manager","IT","1983-02-20","1991-11-20","8","73500.0","11976","5846","Trico","13","43.07","3","3","1","Lack of benefits","1"
"E0033","E.W.A.P.D.Motha","25","Female","Married","No","Developer Intern","Software","2000-07-18","2004-01-14","4","27600.0","350","6651","Covance","15","10.997","3","2","4","Travelling Problem","1"
"E0034","G.S.Samarasinghe","20","Female","Single","Yes","","","1990-03-16","1997-12-16","7","0.0","0","9949","New York Life","15","20.759","1","0","2","","0"
"E0035","J.D.G.D.Samararathna","39","Female","Single","Yes","IT Manager","IT","1978-08-03","1979-11-25","1","73500.0","1081","1846","Interplan","6","99.75","1","0","5","Travelling Problem","1"
"E0036","X.V.Anand","35","Female","Single","Yes","HR Manager","HR","1975-01-23","1986-05-31","11","58700.0","1168","8438","Trico","10","73.53","2","0","4","Travelling Problem","1"
"E0037","X.J.Zoysa","40","Female","Single","No","IT Trainee","IT","2007-07-27","2010-11-01","3","20500.0","261","1169","Claim Administration System Migration","9","11.856","0","0","3","Travelling Problem","1"
"E0038","T.Y.Jayasuriya","34","Female","Single","No","IT","IT","2000-03-11","2004-07-18","4","20500.0","429","9942","New York Life","10","6.986","0","0","1","","0"
"E0039","M.F.K.Samarasinghe","27","Male","Single","No","Junior Designer","Software","1978-12-03","1996-10-08","18","30600.0","520","1387","Covance","20","14.451","2","0","3","","0"
"E0040","M.V.I.Senarathna","33","Female","Single","Yes","Software Engineer","IT","2007-12-12","2011-08-27","4","88550.0","3922","3827","Interplan","4","14.548","0","0","3","Travelling Problem","1"
"E0041","Z.M.Arafat","44","Female","Single","No","Junior Designer","Software","1988-10-29","1998-04-02","10","30600.0","418","4629","Telemar","14","48.504","0","0","4","Travelling Problem","1"
"E0042","W.V.G.Wijepala","47","Male","Single","Yes","System Admin","IT","1990-08-17","2005-12-15","15","58700.0","6964","5509","Hazard Management System","1","24.943","2","0","1","","0"
"E0043","V.R.U.W.Daniel","34","Female","Single","Yes","System Admin","IT","2003-01-27","2007-11-29","4","58700.0","3316","1357","Interplan","10","45.149","1","0","4","Travelling Problem","1"
"E0044","G.O.Jayawardena","39","Female","Married","No","","","1972-06-20","1983-02-17","11","0.0","0","4800","Ethna","16","21.911","5","0","1","Lack of benefits","1"
"E0045","T.Z.W.T.Hettiarachchi","43","Male","Single","No","Sales Executive","Financial","1972-01-16","1988-04-30","16","31500.0","639","4212","Incident Management System","8","57.362","1","0","8","Personal Reason","1"
"E0046","C.J.Rayen","41","Male","Single","Yes","IT App Man","IT","1982-07-22","2009-12-05","27","53000.0","917","6074","Risk Management System","17","94.347","1","0","5","Personal Reason","1"
"E0047","I.Perera","41","Female","Single","No","IT","IT","1977-03-31","2001-11-07","24","20500.0","462","1725","Btaf","9","20.028","0","0","4","Travelling Problem","1"
"E0048","N.G.W.C.Sirisena","45","Male","Single","Yes","Assistant Accountant","Financial","2008-08-16","2012-03-15","4","67500.0","1668","1021","Risk Management System","19","90.938","0","0","0","","0"
"E0049","U.P.X.Mendis","35","Female","Single","No","","","2005-03-17","2006-08-07","1","0.0","0","1000","New York Life","12","77.86","1","0","4","Travelling Problem","1"
"E0050","N.F.N.Karunarathna","46","Female","Single","No","IT","IT","1993-03-05","2009-08-23","16","20500.0","319","2682","Ethna","19","64.071","0","0","3","Travelling Problem","1"
"E0051","H.C.K.Fernando","23","Female","Married","No","","","2008-09-07","2011-09-03","3","0.0","0","8475","Trico","17","94.229","3","5","3","","0"
"E0052","X.R.V.Zoysa","44","Female","Single","No","Software Tester","Software","2009-01-14","2012-02-17","3","20500.0","378","2392","Incident Management System","18","62.831","0","0","5","Travelling Problem","1"
"E0053","J.Hettiarachchi","45","Female","Single","No","Developer Intern","Software","1973-11-27","1986-01-22","13","27600.0","582","1430","Telemar","17","43.842","1","0","4","Travelling Problem","1"
"E0054","Q.E.P.N.Jayasuriya","49","Male","Married","No","Software Engineering Intern","Software","2002-07-17","2011-03-15","9","26700.0","331","4302","Ethna","9","12.302","5","4","3","","0"
"E0055","L.R.W.E.Soertsz","50","Female","Married","No","Developer Intern","Software","1976-02-07","1990-08-17","14","27600.0","513","3886","Risk Management System","18","92.595","0","4","3","Lack of benefits","1"
"E0056","O.U.Rayen","31","Male","Single","Yes","IT Project Leader","IT","1985-05-05","2004-11-27","19","78300.0","2602","8376","Covance","20","32.087","1","0","1","","0"
"E0057","V.J.F.A.Jayawardena","39","Female","Single","No","Software Engineering Intern","Software","1993-12-18","1995-04-10","2","26700.0","435","3120","Interplan","16","91.251","1","0","3","Travelling Problem","1"
"E0058","A.P.L.Soris","50","Female","Married","Yes","System Analyst","Planning","1982-01-11","1990-07-26","8","91250.0","5540","9888","Incident Management System","15","30.365","1","3","1","Lack of benefits","1"
"E0059","U.U.Seram","30","Female","Single","No","Developer Intern","Software","1993-11-24","2000-08-08","7","27600.0","320","8968","CAT Migration","13","73.962","1","0","5","Travelling Problem","1"
"E0060","O.V.U.Darwin","43","Female","Married","Yes","Software Architecturer","Planning","1992-05-10","2002-06-22","10","80400.0","7322","6497","Risk Management System","17","98.809","0","1","4","Travelling Problem","1"
"E0061","K.O.H.Anand","32","Female","Single","No","IT Trainee","IT","1970-04-16","1973-11-19","3","20500.0","384","8925","Hazard Management System","4","44.87","1","0","3","Travelling Problem","1"
"E0062","R.D.U.A.Rodrigo","35","Female","Married","No","","","1998-08-22","2001-12-16","3","0.0","0","7159","Telemar","11","66.58","2","3","2","Lack of benefits","1"
"E0063","A.A.De Vaas","31","Male","Married","No","","","2003-11-16","2013-06-26","10","0.0","0","6065","Btaf","4","15.941","3","2","5","Low salary and Lack of benefits","1"
"E0064","F.W.Premasiri","44","Female","Married","No","Software Tester","Software","2003-12-14","2005-11-17","2","20500.0","273","6456","CAT Migration","18","28.025","1","2","1","Lack of benefits","1"
"E0065","Z.Wijepala","49","Female","Married","No","IT","IT","1978-01-21","2012-04-15","34","20500.0","368","7241","Budget Management Centre","0","56.876","2","3","2","Lack of benefits","1"
"E0066","L.B.P.Samarasinghe","38","Female","Single","No","Software Engineering Intern","Software","1984-11-18","1999-09-07","15","26700.0","323","3487","Telemar","10","70.424","0","0","5","Travelling Problem","1"
"E0067","H.P.Darwin","36","Male","Single","No","Developer Intern","Software","1975-01-25","2010-01-21","35","27600.0","560","9811","Risk Management System","5","13.607","0","0","7","Personal Reason","1"
"E0068","O.V.Samararathna","45","Male","Married","No","Software Tester","Software","2000-11-11","2006-01-19","6","20500.0","498","2683","Interplan","7","68.154","2","0","2","","0"
"E0069","H.De Vaas","28","Male","Single","Yes","","","1974-05-25","2001-01-29","27","0.0","0","2622","Incident Management System","20","49.517","1","0","3","Higher Education","1"
"E0070","O.X.V.Wijepala","37","Female","Single","No","","","1977-07-31","1984-09-08","7","0.0","0","1985","Budget Management Centre","15","10.29","1","0","5","Travelling Problem","1"
"E0071","N.L.R.Warnapura","45","Female","Single","No","","","2004-02-11","2009-12-02","5","0.0","0","7408","Hazard Management System","13","66.141","2","0","3","Travelling Problem","1"
"E0072","Y.X.O.Kapugedara","31","Male","Married","No","Junior Business Analyst","Financial","1973-12-27","2005-12-21","32","22500.0","269","9413","Ethna","7","12.74","2","3","1","Low salary and Lack of benefits","1"
"E0073","H.George","41","Male","Single","No","Junior Business Analyst","Financial","1977-10-18","1982-09-22","5","22500.0","245","8471","New York Life","7","77.207","2","0","0","","0"
"E0074","K.Z.Darwin","24","Female","Married","No","Developer Intern","Software","1999-02-10","2014-11-19","15","27600.0","430","6256","Interplan","3","37.267","1","1","5","Travelling Problem","1"
"E0075","R.Gunarathna","32","Male","Single","No","Software Tester","Software","1979-01-15","1988-05-29","9","20500.0","351","3201","New York Life","12","15.567","1","0","1","Left the country","1"
"E0076","O.R.Bandaranayake","47","Female","Single","No","Software Tester","Software","1973-02-15","1998-07-11","25","20500.0","293","1868","New York Life","17","81.29","2","0","4","Travelling Problem","1"
"E0077","L.Q.Samarasinghe","49","Female","Married","No","","","1978-08-20","1980-03-30","2","0.0","0","7359","Covance","20","19.399","2","0","3","Lack of benefits","1"
"E0078","T.Senarathna","27","Male","Single","No","IT Officer - Intern","IT","1982-06-07","1999-09-14","17","25400.0","389","8988","Budget Management Centre","11","65.748","0","0","2","Personal Reason","1"
"E0079","T.P.Abdulla","46","Male","Married","No","Sales Executive","Financial","1997-01-12","2006-08-31","9","31500.0","551","6634","Budget Management Centre","20","19.71","0","2","1","","0"
"E0080","L.X.Silva","29","Male","Married","Yes","Software Engineer","IT","1975-08-21","1981-06-09","6","88550.0","3777","1903","Covance","11","36.738","2","3","2","","0"
"E0081","N.X.De Souza","28","Female","Single","Yes","Software Architecturer","Planning","1972-07-01","1972-12-31","0","80400.0","10124","5589","Trico","4","92.3","0","0","3","Travelling Problem","1"
"E0082","H.Q.E.De Silva","50","Female","Married","No","Junior Business Analyst","Financial","1980-08-01","1990-05-21","10","22500.0","247","4823","Budget Management Centre","4","15.734","3","1","1","Lack of benefits","1"
"E0083","C.F.U.Soertsz","31","Female","Single","No","IT","IT","1988-06-29","2010-08-10","22","20500.0","476","9729","New York Life","12","70.633","2","0","3","Travelling Problem","1"
"E0084","K.M.D.D.Samararathna","49","Male","Single","Yes","Finance Manager","Financial","1971-01-28","1994-09-14","23","120700.0","10580","9859","New York Life","12","64.991","2","0","7","Personal Reason","1"
"E0085","F.K.Kodithuwakku","39","Female","Single","No","IT Trainee","IT","2007-03-16","2008-06-21","1","20500.0","302","7226","Risk Management System","6","98.45","0","0","3","Travelling Problem","1"
"E0086","B.Q.X.T.Jayawardena","35","Male","Single","Yes","Tech Lead","Software","2005-11-05","2008-08-15","3","75000.0","2510","3194","Trico","10","92.7","2","0","0","","0"
"E0087","P.D.P.S.Mendis","50","Male","Single","Yes","Assistant Accountant","Financial","1973-02-04","2001-07-28","28","67500.0","1655","1709","Claim Administration System Migration","2","35.967","1","0","3","","0"
"E0088","Z.S.I.Mendis","25","Female","Single","Yes","Senior Designer","Software","1991-11-21","2010-09-11","19","67600.0","4144","6171","New York Life","9","22.318","2","0","3","Travelling Problem","1"
"E0089","E.E.D.S.Silva","29","Female","Married","Yes","Software Engineer","IT","1985-11-29","2007-04-10","22","88550.0","9105","5828","Claim Administration System Migration","1","81.847","0","5","1","Lack of benefits","1"
"E0090","P.W.I.J.L.George","35","Female","Single","No","","","1982-08-01","2014-07-21","32","0.0","0","2197","Ethna","13","77.271","1","0","3","Travelling Problem","1"
"E0091","O.Seram","41","Female","Single","No","Junior Business Analyst","Financial","1982-01-19","2010-02-28","28","22500.0","239","7833","Ethna","14","39.757","0","0","3","Travelling Problem","1"
"E0092","K.E.Gunawardene","21","Male","Single","Yes","IT App Man","IT","1976-09-24","2011-12-15","35","53000.0","1607","3838","CAT Migration","1","78.59","0","0","0","","0"
"E0093","C.G.W.Gunarathna","28","Male","Single","No","","","1993-03-14","1994-12-15","1","0.0","0","8929","Covance","4","93.051","0","0","1","Higher Education","1"
"E0094","Z.J.V.Premasiri","37","Male","Married","No","","","2003-02-07","2014-11-02","11","0.0","0","7758","CAT Migration","12","43.944","4","1","1","Personal Reason","1"
"E0095","H.H.Abdulla","26","Female","Single","No","IT","IT","1992-09-27","2005-07-03","13","20500.0","311","5235","Trico","15","60.443","0","0","5","Travelling Problem","1"
"E0096","M.U.N.N.Karunarathna","42","Male","Single","No","","","1986-01-03","2011-01-07","25","0.0","0","4112","Telemar","19","22.982","1","0","2","","0"
"E0097","Q.I.L.Perera","49","Female","Married","No","Software Tester","Software","1997-08-12","2009-12-23","12","20500.0","281","8407","Incident Management System","17","49.755","3","4","3","Lack of benefits","1"
"E0098","W.Hettiarachchi","21","Male","Single","No","","","1981-08-20","1984-05-07","3","0.0","0","3779","Ethna","1","28.294","0","0","6","Higher Education","1"
"E0099","D.T.P.H.Wijepala","22","Female","Single","No","Software Engineering Intern","Software","1985-11-20","2000-05-05","15","26700.0","441","3967","Claim Administration System Migration","1","90.144","1","0","1","","0"
"E00100","N.W.G.Silva","25","Male","Single","No","IT Officer - Intern","IT","2005-09-02","2010-06-05","5","25400.0","336","9902","New York Life","3","47.478","2","0","1","Personal Reason","1"
"E00101","U.W.Premasiri","44","Male","Married","No","Developer Intern","Software","1982-01-19","1983-10-19","1","27600.0","434","8515","Claim Administration System Migration","2","36.01","3","4","0","","0"
"E00102","E.S.Karunasena","48","Female","Married","No","","","1984-05-29","2006-01-02","22","0.0","0","1422","Interplan","2","54.232","1","1","2","Lack of benefits","1"
"E00103","R.A.Kodithuwakku","41","Female","Married","No","IT Officer - Intern","IT","1996-06-14","2006-11-26","10","25400.0","314","6615","Claim Administration System Migration","15","61.674","4","2","1","Lack of benefits","1"
"E00104","L.N.B.F.Senarathna","26","Female","Single","No","IT","IT","1970-04-30","1982-06-22","12","20500.0","345","6788","Claim Administration System Migration","6","12.856","1","0","4","Travelling Problem","1"
"E00105","O.O.I.Gunarathna","47","Female","Single","No","Developer Intern","Software","1992-07-13","1999-01-04","7","27600.0","362","7685","Btaf","14","26.264","2","0","3","Travelling Problem","1"
"E00106","S.Warnapura","27","Female","Married","No","Junior Business Analyst","Financial","1971-03-05","2011-09-18","40","22500.0","324","3127","Budget Management Centre","1","1.215","5","2","3","Lack of benefits","1"
"E00107","Y.Rajakaruna","46","Female","Married","No","IT Officer - Intern","IT","1998-03-02","2002-12-22","4","25400.0","340","5345","Risk Management System","6","90.917","2","5","1","Lack of benefits","1"
"E00108","X.O.Q.Anand","25","Female","Married","No","Software Engineering Intern","Software","1979-05-27","2003-10-03","24","26700.0","425","5203","Btaf","10","68.811","1","3","4","Travelling Problem","1"
"E00109","T.Y.Fernando","32","Male","Single","No","Software Tester","Software","2003-09-25","2010-08-27","7","20500.0","483","7659","Risk Management System","6","63.226","2","0","1","Left the country","1"
"E00110","O.Kapukotuwa","31","Female","Single","No","Software Engineering Intern","Software","1987-05-22","2014-01-01","27","26700.0","541","5648","Btaf","13","52.788","0","0","5","Travelling Problem","1"
"E00111","V.Warnapura","31","Male","Single","No","","","2010-08-19","2014-08-22","4","0.0","0","1121","Btaf","13","29.216","0","0","4","Higher Education","1"
"E00112","B.B.A.G.S.Sirisena","44","Male","Single","No","Junior Designer","Software","2007-01-18","2013-02-05","6","30600.0","526","2154","CAT Migration","9","67.756","1","0","3","","0"
"E00113","Q.Sirisena","39","Female","Married","Yes","Software Architecturer","Planning","2004-03-06","2005-01-04","1","80400.0","7067","1642","Budget Management Centre","1","64.72","1","4","1","Lack of benefits","1"
"E00114","F.D.Seram","41","Female","Single","No","Junior Designer","Software","1981-07-20","1991-12-02","10","30600.0","584","8867","Claim Administration System Migration","3","12.506","1","0","4","Travelling Problem","1"
"E00115","J.B.Z.B.Hettiarachchi","31","Female","Married","No","IT Officer - Intern","IT","2003-07-06","2005-10-25","2","25400.0","370","4871","CAT Migration","6","40.776","5","4","2","Lack of benefits","1"
"E00116","M.M.Fernando","26","Male","Single","No","Sales Executive","Financial","1980-07-14","1988-07-23","8","31500.0","712","5665","CAT Migration","18","44.348","1","0","0","","0"
"E00117","G.O.Musammil","45","Female","Single","No","Junior Designer","Software","1982-04-21","1987-06-23","5","30600.0","465","5508","Telemar","13","34.735","0","0","4","Travelling Problem","1"
"E00118","H.T.A.Rodrigo","37","Male","Single","Yes","System Admin","IT","1995-07-03","1998-07-06","3","58700.0","1022","4318","Hazard Management System","3","87.944","2","0","2","","0"
"E00119","J.De Silva","31","Male","Single","Yes","IT App Man","IT","1975-04-28","2002-09-10","27","53000.0","4690","9305","Ethna","11","62.535","1","0","2","","0"
"E00120","C.F.P.F.Seram","50","Male","Single","Yes","Senior Business Analyst","Financial","1978-03-11","2009-06-01","31","72300.0","6335","9281","New York Life","18","34.796","0","0","2","Personal Reason","1"
"E00121","I.K.G.Zoysa","32","Female","Single","Yes","IT Manager","IT","1981-06-13","2013-02-08","32","73500.0","1977","8527","Btaf","3","59.665","0","0","4","Travelling Problem","1"
"E00122","I.M.Arafat","29","Male","Married","No","IT Trainee","IT","1973-08-06","1999-10-24","26","20500.0","364","9940","CAT Migration","3","89.984","4","4","5","Low salary and Lack of benefits","1"
"E00123","G.K.Silva","47","Male","Single","No","","","1988-01-09","2012-02-11","24","0.0","0","1273","CAT Migration","19","79.816","0","0","1","","0"
"E00124","L.N.Anand","41","Female","Married","Yes","IT Project Leader","IT","1991-10-05","2005-01-10","14","78300.0","7170","9647","Hazard Management System","17","42.2","5","4","3","Lack of benefits","1"
"E00125","Q.B.R.J.Samararathna","48","Female","Single","No","IT Trainee","IT","1970-06-22","1975-05-21","5","20500.0","218","9847","Hazard Management System","14","89.86","2","0","3","Travelling Problem","1"
"E00126","Y.F.W.Jayawardena","43","Male","Single","No","Developer Intern","Software","1972-05-30","2010-11-13","38","27600.0","365","9849","Hazard Management System","14","33.38","0","0","1","","0"
"E00127","Z.N.K.Perera","38","Female","Single","No","Developer Intern","Software","1985-03-08","2008-04-30","23","27600.0","386","5707","Telemar","20","1.949","0","0","4","Personal Reason","1"
"E00128","Q.D.M.Musammil","45","Male","Married","Yes","Senior Designer","Software","1986-01-27","2009-09-22","23","67600.0","6236","4254","Budget Management Centre","3","6.413","4","1","8","Personal Reason","1"
"E00129","Z.U.Silva","28","Female","Married","Yes","Software Engineer","IT","2004-05-11","2008-02-02","4","88550.0","14070","2067","Risk Management System","0","71.284","3","5","3","Lack of benefits","1"
"E00130","R.N.F.Anand","36","Female","Single","No","Junior Designer","Software","2005-07-10","2010-12-08","5","30600.0","699","1032","CAT Migration","18","52.345","2","0","3","Travelling Problem","1"
"E00131","L.Q.S.Zoysa","29","Male","Single","Yes","","","2005-06-28","2012-03-03","7","0.0","0","9927","Trico","3","62.665","1","0","6","Higher Education","1"
"E00132","R.I.Samarasinghe","28","Female","Single","Yes","QA Mananger","QA","1999-07-26","2003-01-31","4","82600.0","9033","1324","Budget Management Centre","7","18.42","2","0","4","Travelling Problem","1"
"E00133","E.Viswanathan","49","Female","Married","No","Sales Executive","Financial","1995-08-21","2013-02-02","18","31500.0","631","2062","Hazard Management System","14","93.881","1","1","1","Lack of benefits","1"
"E00134","Q.Premasiri","50","Male","Single","No","Software Engineering Intern","Software","2005-05-21","2014-05-20","9","26700.0","474","9317","Risk Management System","0","11.781","0","0","3","","0"
"E00135","Y.B.Nanadasiri","21","Female","Married","No","Software Engineering Intern","Software","1984-12-16","1989-11-21","5","26700.0","345","9597","New York Life","14","77.76","5","2","2","","0"
"E00136","M.Y.F.L.S.Seram","23","Female","Single","Yes","Assistant Accountant","Financial","1982-01-20","2011-01-05","29","67500.0","4310","8755","Claim Administration System Migration","6","49.588","0","0","0","","0"
"E00137","L.H.Premasiri","38","Male","Married","Yes","QA Mananger","QA","1981-03-21","1997-02-04","16","82600.0","2725","5357","Telemar","0","80.576","1","5","1","","0"
"E00138","E.F.O.Senarathna","29","Female","Single","Yes","System Analyst","Planning","1984-11-04","2001-06-07","17","91250.0","7619","3241","Incident Management System","2","3.389","2","0","2","","0"
"E00139","V.C.S.T.Perera","39","Female","Married","No","Software Engineering Intern","Software","2002-03-05","2005-04-01","3","26700.0","387","4722","New York Life","2","2.503","2","2","2","Lack of benefits","1"
"E00140","X.Z.J.Bandaranayake","40","Female","Single","Yes","System Admin","IT","1992-07-03","1999-07-03","7","58700.0","3712","8408","Hazard Management System","19","80.453","2","0","4","Travelling Problem","1"
"E00141","N.A.Jayasuriya","21","Male","Single","Yes","Senior Business Analyst","Financial","1977-12-29","2010-10-25","33","72300.0","6665","9992","Ethna","2","52.667","2","0","2","Personal Reason","1"
"E00142","J.Sirisena","29","Male","Single","No","IT Trainee","IT","1977-10-27","1990-12-23","13","20500.0","243","5093","Telemar","19","70.276","0","0","1","Left the country","1"
"E00143","A.L.L.Mendis","47","Female","Single","No","IT Officer - Intern","IT","2006-01-26","2008-01-13","2","25400.0","374","9659","Covance","16","24.569","1","0","5","Travelling Problem","1"
"E00144","W.R.Karunasena","40","Male","Single","Yes","","","1985-12-15","2014-05-01","29","0.0","0","2132","New York Life","9","68.717","2","0","1","Personal Reason","1"
"E00145","F.N.W.Jayasuriya","31","Male","Single","No","Junior Business Analyst","Financial","1984-05-30","1987-09-20","3","22500.0","352","3213","Trico","0","94.214","1","0","2","Left the country","1"
"E00146","F.E.Abdulla","36","Female","Single","No","Software Tester","Software","1979-09-11","2006-06-17","27","20500.0","432","4603","Incident Management System","15","11.094","0","0","3","Travelling Problem","1"
"E00147","K.Y.R.Senanayake","22","Female","Single","No","Developer Intern","Software","2000-08-18","2014-09-22","14","27600.0","375","8595","Interplan","7","45.289","2","0","0","","0"
"E00148","O.S.C.M.Sirisena","26","Female","Single","No","Software Tester","Software","1985-01-10","1992-07-24","7","20500.0","219","8921","Btaf","5","44.074","0","0","3","Travelling Problem","1"
"E00149","N.G.I.Nanadasiri","49","Female","Married","Yes","Finance Manager","Financial","1984-08-03","2005-03-29","21","120700.0","24024","8925","Btaf","20","49.14","4","1","3","Lack of benefits","1"
"E00150","Y.Bandaranayake","34","Female","Married","No","IT","IT","1997-06-22","2004-02-29","7","20500.0","311","2861","Hazard Management System","17","58.387","5","5","3","Lack of benefits","1"
"E00151","F.S.W.R.De Vaas","43","Female","Single","No","IT Trainee","IT","1999-03-29","2004-10-16","5","20500.0","373","5470","Incident Management System","12","25.55","0","0","3","Travelling Problem","1"
"E00152","P.O.L.Sarathchandra","24","Male","Married","No","Developer Intern","Software","1993-08-22","2009-04-10","16","27600.0","370","8701","Claim Administration System Migration","18","2.8","5","4","2","Low salary and Lack of benefits","1"
